timestamp_utc,at,td,st
2026-02-04T13:00Z,1.8,-0.2,-3.0
2026-02-04T13:15Z,1.9,-0.3,-3.0
2026-02-04T13:30Z,1.7,-0.5,-3.0
2026-02-04T13:45Z,1.1,-0.9,-3.0
2026-02-04T14:00Z,0.6,-1.1,-3.0
