Kennung;Name;Streckentyp (1=freie Strecke 2=Bruecke);Streckenbelag (1=Asphalt 2=Beton);Breite;Laenge;Hoehe;Flughafen;Inaktiv
B942;KH Zepkow;1;2;53,320830;12,478330;73;;
B949;Zirtow;1;1;53,274776;12,913632;66;;
C107;HH-Nordwest;1;1;53,616670;9,916670;16;;
C207;Hochstrasse;1;1;53,533330;9,933330;5;;
C234;Bille;1;1;53,516670;10,116670;-2;;
C309;HH-Suedwest;2;1;53,450000;9,922500;97;;
C311;Norderelbe;2;1;53,516670;10,066670;-4;;
C315;Suederelbe;2;1;53,466670;10,016670;-2;;
C320;AS HH Eidelstedt;1;1;53,618197;9,908152;18;A;
C500;Am Botterbarg;1;1;53,574221;9,835260;26;;
C501;Bergedorfer Strasse;2;1;53,513837;10,168390;32;;
C502;Jahnring;1;1;53,600570;10,024507;13;;
C503;Koehlbrand Ost;1;1;53,521315;9,942743;60;;
C504;Schiffbeker Weg;1;1;53,557219;10,115666;18;;
C505;Ausschlaeger Allee;1;1;53,526499;10,069933;5;;
C506;Koehlbrand West;1;1;53,522319;9,934479;60;;
C507;Alte Schmiede;1;1;53,668621;10,125033;28;;
C508;Rossdamm;1;1;53,520811;9,971876;3;;
C590;Glinder AU;1;1;53,535743;10,141784;15;A;
C670;Moorfleet;1;1;53,508696;10,092134;-1;A;
C671;AD Südost ;1;1;53,508902;10,066938;4;A;
C800;Hamburg-Süd;1;1;53,498043;10,037697;5;A;
C850;Wilhelmsb. Reichstraße;1;1;53,484147;10,001447;-3;L;
C920;Eißendorf;1;1;53,444732;9,919124;82;A;
C921;Süderelbe I;2;1;53,476202;10,022298;3;A;
C922;Harburg;1;1;53,455228;10,028140;-2;A;
D001;Meyenburg;1;2;53,266670;8,616670;10;;
D500;Lesumer Bruecke;1;2;53,162383;8,720600;9;;
D965;Varreler Baeke;2;1;53,047217;8,709033;5;;
D974;Nordwest-Knoten;2;1;53,084933;8,794233;13;;
D975;Stephani-Bruecke;2;1;53,080183;8,790367;10;;
D995;Bremer Kreuz;1;2;53,036470;8,992190;6;;
D998;Hemelinger Weserbruecke;2;1;53,033100;8,866933;2;;
E010;Norden;1;1;53,586620;7,228620;-1;;
E032;Carolinensiel;1;1;53,682130;7,798470;0;;
E060;Blexen;1;2;53,525830;8,526580;3;;
E068;Nordholz;1;2;53,716670;8,666670;43;;
E080;Cadenberge;1;1;53,759980;9,075430;4;;
E081;Himmelpforten;1;1;53,613490;9,283360;7;;
E108;Emden-Nord;2;1;53,383330;7,216670;1;;
E109;Riepe-Bansmeer;1;1;53,368056;7,301111;-4;;
E110;Larrelt;1;1;53,368640;7,170700;-1;;
E130;Fedderwardergroden;2;2;53,566670;8,116670;3;;
E132;Wilhelmshaven;1;1;53,563890;8,066670;2;;
E134;Roffhausen(Sande);1;1;53,516670;8,016670;2;;
E136;Zetel;1;2;53,450000;8,016670;1;;
E146;Uthlede;1;2;53,307540;8,618640;4;;
E151;Heerstedt;1;1;53,468640;8,738930;10;;
E160;Oerel;1;1;53,484130;9,048650;23;;
E161;Wulsdorf;1;1;53,499470;8,628020;10;;
E162;Dollern;1;1;53,544663;9,570818;-3;A;
E180;Rübke;1;1;53,486349;9,752765;-1;A;
E181;Estebrücke;2;1;53,488415;9,708076;-1;A;
E211;Coldam;1;1;53,208500;7,404050;0;;
E213;Eisinghausen;1;1;53,263810;7,458010;0;;
E217;Filsum;1;1;53,266670;7,583330;5;;
E220;Loy;1;1;53,235600;8,278140;1;;
E225;Vareler Wald;1;1;53,383330;8,116670;24;;
E227;Hollwege;1;1;53,283330;7,916670;9;;
E228;Helle;1;1;53,225000;8,043056;15;;
E236;Wemkendorf;1;2;53,266670;8,166670;12;;
E237;Nordkreuz;1;1;53,216670;8,216670;21;;
E264;Sittensen;1;1;53,283330;9,516670;32;;
E267;Bockel;1;1;53,203056;9,298056;28;;
E270;Buchholz;2;1;53,372630;9,854260;98;;
E271;Rosengarten;1;1;53,397778;9,884722;98;;
E280;Maschen;1;1;53,393880;9,998010;16;;
E291;Elbevorlandbruecke;1;1;53,420080;10,338180;9;L;
E299;Lueneburg-Nord;1;1;53,278358;10,398814;28;;
E302;Bunde;1;1;53,180556;7,228890;-1;;
E305;Heede;1;1;53,016670;7,250000;0;;
E310;Kampe;1;1;53,084400;7,832770;6;;
E311;Husbaeke;1;1;53,085747;7,965430;4;;
E320;Huntebrueck;1;1;53,199580;8,447380;8;;
E322;Blankenburg;2;1;53,153056;8,275000;3;;
E328;Astrup;1;2;53,053056;8,212611;5;;
E329;Kimmen;1;1;53,066670;8,443056;22;;
E331;Hasport;1;1;53,031330;8,658090;14;;
E332;Mackenstedt;1;2;53,007383;8,717300;8;;
E333;Obernheide;1;2;53,013800;8,756483;3;;
E334;Weener;2;1;53,186944;7,298333;-1;;
E336;Krummhoerenskuhlen;1;2;53,023533;8,828617;4;;
E343;Hemelingen;1;2;53,035450;8,874610;5;;
E344;Mahndorf;1;2;53,028850;8,930517;7;;
E351;Hemsbuende;1;1;53,091860;9,464306;29;;
E363;Egestorfer Berg;1;2;53,205000;10,078889;124;;
E368;Timmerloh;1;2;53,053330;9,953611;112;A;
E371;Droegennindorf;1;1;53,148150;10,284680;109;L;
E373;Hoystorfer Berg;1;1;53,029800;10,538370;77;L;
E401;Lathen;1;1;52,866670;7,216670;10;;
E403;Surwold;1;1;52,984140;7,393790;4;;
E425;Doetlingen;2;1;52,916670;8,416670;18;;
E427;Ahlhorn;1;2;52,906111;8,166111;41;;
E431;Hoelscher Holz;1;2;52,916670;8,466670;41;;
E434;Delmenhorst-Ost;1;2;53,003889;8,683889;11;;
E450;Etelsen;1;2;53,016670;9,116670;50;;
E452;Dorfmark;1;1;52,906140;9,740380;82;L;
E460;vorm Wietzenbruch;1;2;52,961430;9,895000;68;A;
E492;Saasse;1;1;52,948970;11,171810;20;L;
E502;Hebeler Meer;1;1;52,721930;7,066497;17;;
E530;Stapelfeld;1;1;52,827620;8,002830;44;;
E531;Vechta;1;2;52,723889;8,172222;30;;
E532;Ahlhorner Heide;1;2;52,860000;8,216670;48;;
E533;Garthe;1;2;52,838400;8,218300;61;;
E537;Neuenkirchen;1;1;52,495000;8,076944;41;;
E540;Ridderade;1;1;52,763330;8,595100;50;;
E541;Rehden;1;1;52,611700;8,521160;50;;
E550;Meinkingsburg;1;1;52,582050;9,287170;56;;
E551;Geestefeld;1;1;52,873200;9,230220;14;;
E560;Armsen;1;1;52,921742;9,346831;30;A;
E561;Weyhausen CE;1;1;52,791400;10,383110;103;L;
E562;Altenwahlingen;1;1;52,797990;9,416470;20;L;
E563;Allerbruecke;2;1;52,687652;9,689048;28;A;
E570;Berkhof;1;1;52,612586;9,735817;36;A;
E572;AD Walsrode;1;1;52,779880;9,669910;37;A;
E602;Gildehaus;1;2;52,319500;7,057350;30;;
E603;Ems-Vechte-Kanal;1;1;52,453310;7,246260;37;;
E611;Thuine;1;1;52,499680;7,528219;55;;
E650;Anderten;1;2;52,359883;9,886862;63;A;
E654;Arensburg;1;1;52,220450;9,113730;125;A;
E655;Auetal;1;1;52,222530;9,222780;195;A;
E660;Winzlar;1;1;52,440710;9,250730;51;;
E661;Nienstaedt;1;1;52,298510;9,177650;102;L;
E668;Garbsen;1;2;52,416670;9,566670;47;A;
